DATE,SECTOR,CNT
20240704,6G,1
20240712,6G,1
20240730,스마트팩토리,2
20240801,6G,1
20240809,스마트팩토리,1
20240819,6G,1
20240821,6G,1
20240827,6G,2
20240829,6G,1
20240902,스마트팩토리,1
20240904,자율주행,1
20240908,6G,1
20240908,스마트팩토리,1
20240909,자율주행,1
20240918,6G,1
20240923,6G,2
20240923,자율주행,1
20240924,자율주행,2
20240927,자율주행,1
20240928,자율주행,1
20241004,6G,1
20241004,스마트팩토리,3
20241006,6G,1
20241007,자율주행,1
20241010,6G,1
20241010,2차 전지,1
20241012,스마트팩토리,1
20241014,6G,1
20241015,6G,2
20241016,6G,2
20241017,6G,1
20241018,6G,1
20241022,6G,1
20241023,6G,1
20241023,자율주행,1
20241024,6G,1
20241024,스마트팩토리,1
20241028,6G,1
20241029,자율주행,1
20241031,6G,1
20241101,6G,1
20241104,스마트팩토리,1
20241107,자율주행,1
20241108,6G,1
20241109,6G,1
20241111,6G,1
20241112,6G,1
20241112,자율주행,1
20241112,2차 전지,1
20241113,6G,3
20241114,6G,2
20241114,자율주행,1
20241118,6G,1
20241118,자율주행,1
20241119,스마트팩토리,1
20241120,6G,1
20241121,6G,1
20241121,스마트팩토리,1
20241122,6G,1
20241125,자율주행,1
20241127,스마트팩토리,2
20241127,자율주행,2
20241128,자율주행,2
20241129,자율주행,1
20241202,스마트팩토리,1
20241202,자율주행,1
20241203,화장품,1
20241204,6G,3
20241204,자율주행,1
20241205,6G,1
20241208,엔터,2
20241209,엔터,2
20241210,자율주행,1
20241211,6G,2
20241211,스마트팩토리,1
20241212,6G,2
20241213,6G,1
20241214,6G,1
20241217,6G,3
20241217,화장품,1
20241218,6G,1
20241218,자율주행,5
20241218,화장품,2
20241219,6G,1
20241219,스마트팩토리,1
20241219,자율주행,1
20241220,스마트팩토리,1
20241220,자율주행,2
20241223,6G,1
20241224,자율주행,1
20241225,6G,2
20241226,6G,8
20241226,자율주행,5
20241227,6G,2
20241227,엔터,1
20241227,자율주행,2
20241230,6G,8
20241231,6G,2
20250101,스마트팩토리,1
20250102,6G,1
20250102,자율주행,1
20250103,6G,3
20250103,2차 전지,1
20250106,6G,1
20250106,2차 전지,2
20250107,6G,5
20250107,스마트팩토리,1
20250107,자율주행,6
20250108,6G,2
20250108,자율주행,5
20250109,엔터,2
20250109,스마트팩토리,1
20250109,자율주행,1
20250110,엔터,1
20250110,스마트팩토리,1
20250110,자율주행,5
20250112,6G,1
20250112,자율주행,1
20250112,2차 전지,1
20250113,자율주행,1
20250113,2차 전지,1
20250114,엔터,1
20250115,6G,6
20250115,스마트팩토리,1
20250115,자율주행,3
20250116,6G,1
20250116,스마트팩토리,2
20250116,자율주행,1
20250116,화장품,1
20250117,6G,2
20250117,엔터,1
20250117,스마트팩토리,5
20250119,엔터,1
20250120,엔터,1
20250120,2차 전지,1
20250122,6G,4
20250123,6G,5
20250123,엔터,1
20250123,스마트팩토리,1
20250123,자율주행,5
20250124,6G,1
20250124,자율주행,5
20250127,6G,1
20250128,6G,1
20250130,6G,1
20250130,자율주행,1
20250131,스마트팩토리,1
20250131,자율주행,1
20250131,2차 전지,1
20250203,스마트팩토리,2
20250203,자율주행,2
20250203,2차 전지,1
20250203,화장품,1
20250204,6G,1
20250204,스마트팩토리,1
20250205,반도체,1
20250205,6G,3
20250205,스마트팩토리,1
20250205,자율주행,2
20250206,6G,4
20250206,엔터,1
20250206,자율주행,3
20250207,6G,2
20250207,엔터,2
20250207,자율주행,3
20250207,화장품,1
20250208,6G,1
20250210,6G,2
20250211,엔터,4
20250213,6G,1
