SECTOR,KEYWORD,MEDIA,TITLE,DESCRIPTION,URL,PUBLISHED,SCRAPED_AT
반도체,AMD,한국경제,"AMD의 라이젠AI, 성능·전력 효율 탁월…CPU 시장 판도 바꾼다 - 한국경제","AMD의 라이젠AI, 성능·전력 효율 탁월…CPU 시장 판도 바꾼다",https://news.google.com/rss/articles/CBMiWkFVX3lxTE9pXzc4d1dLUWFfNGpTMUs4LVRLLWhBaEx1aTY0b3JmQWdvOUF6M0k4NXFSeXJQRTdoaFpiUHp6TE84enZlQnBuTVZ6UWFvYW9tMDhEb1NJYm5hZ9IBVEFVX3lxTE1kcV8yNGp0amJPdFB4T3FtdmV4MTNXQmYwQlFoUzZvdHFnLXp3T3NwMjNhTWpXMmZyUEdBa05pUHNxdjVpdEdZZ0hQSHY0bnBEWGVBMA?oc=5,2025-05-13,2025-06-29 20:07:53
반도체,TSMC,연합뉴스,"TSMC, 1.4나노·휴머노이드 등 미래 청사진 15일 포럼서 공개 - 연합뉴스","TSMC, 1.4나노·휴머노이드 등 미래 청사진 15일 포럼서 공개",https://news.google.com/rss/articles/CBMiW0FVX3lxTFAtYmlfVjNOMno4OHZvQzRVUUM4VVdpNDMxbGNWcFVhWTFrZFRuZVVtaUdmRzJ4b1djcEM1dzVUVGxGbGZpSWFFTjNLUnhpS1U3X1RsbzdyR3JPYzTSAWBBVV95cUxPVkpxTlFxeVFnTnpRY1J1T01HUFhMSEpZX1Bka1REVi1TTmFpOWFEdjA1RWpSVU5nRFduRC1PbElPZG1KWVlTNGtxXy1JLVM1bUtYZGswM2ZDRzFZck9LcWM?oc=5,2025-05-13,2025-06-29 20:07:54
반도체_이슈,미중 갈등,오피니언뉴스,[미중 무역협상] ①한숨 돌린 세계 경제...침체 우려 떨쳐냈지만 - 오피니언뉴스,[미중 무역협상] ①한숨 돌린 세계 경제...침체 우려 떨쳐냈지만,https://news.google.com/rss/articles/CBMickFVX3lxTFBqV2dfY1U2bzVGZTJjRG1lcFlaLWJHREdxTDJ4djFkTjJTZHNZXzN5d05TYnNaY3RDQWpzUC1PeHM3V2pvMGJwZmZUQmN2em8xb2hvaUNDYzMtSXpFNW5DMVBUWEhFaXhQTU9NSkFKOXQwdw?oc=5,2025-05-13,2025-06-29 20:07:55
6G_이슈,V2X,Investing.com 한국어,V2X 1분기 실적 발표: 예상치 상회에도 주가 하락 By Investing.com - Investing.com 한국어,V2X 1분기 실적 발표: 예상치 상회에도 주가 하락 By Investing.com,https://news.google.com/rss/articles/CBMib0FVX3lxTE5FUnptbnZSeXpDMXk2VFgxazRCUjg5TzRRamJWdHhFaWw2QWFnRF96bGt6blB1VkduMDNpSEk4SldLSjN1MjRDNHNZTGtGYzNQZklvNU4xT0ZLTVJSY3dOTVlvSDhVX0ppLXdtX2IyZw?oc=5,2025-05-13,2025-06-29 20:07:57
6G_이슈,V2X,Investing.com 한국어,"V2X, 미 육군 훈련 계약 확보 By Investing.com - Investing.com 한국어","V2X, 미 육군 훈련 계약 확보 By Investing.com",https://news.google.com/rss/articles/CBMicEFVX3lxTE9feDBCZ1pteUxjekVwMjlUcHk5Sy1UVzNLWGhXekFZc1RMNlNnWUduWEtGY1RIdXl3VzJJZTZ6QjN2ZEdOMU5KTjZJTU45Ti1jODduMnRRdHBjVENYOUNZN1Z1aHJlSWdUZWxSa2l0YnU?oc=5,2025-05-13,2025-06-29 20:07:57
엔터_이슈,한한령,한겨레,이번에도 좌절된 한한령 해제…“중 문화정책 기조가 중요 변수” - 한겨레,이번에도 좌절된 한한령 해제…“중 문화정책 기조가 중요 변수”,https://news.google.com/rss/articles/CBMiZEFVX3lxTE0wbjI0cUUzN0xadEdKSTJKQURyMFVTMkpkcjVfNVZtVzFSRWw4NXc3NXY5MkRuVHI3NnFhZkNMd04zWWt3UEUyajZaTy0zS1AtV3VVS1NGQlNfSGlwYmxuNkhiang?oc=5,2025-05-13,2025-06-29 20:07:58
엔터_이슈,한한령,뉴스워치,'한한령 해제'소식에 엔터업계 기대감 고조…하이브 에스엠 주가도 상승세 - 뉴스워치,'한한령 해제'소식에 엔터업계 기대감 고조…하이브 에스엠 주가도 상승세,https://news.google.com/rss/articles/CBMiakFVX3lxTE5rT01ramdTN1BVdDNGZWV2N2ZfWWhJYkZtbmNiQ1JVRmJUNnFEZzNJZGpWVnJLWGVuN0U3TFRCVmVFQTd3VkhmZS1EWnlBMVlxS1F4ZjBIWEtwZW9vd1JVSUhGQWdJTFlJb3c?oc=5,2025-05-13,2025-06-29 20:07:58
엔터_팀,세븐틴,Airbnb Newsroom,“세븐틴의 데뷔 10주년을 함께 기념해요” - Airbnb Newsroom,“세븐틴의 데뷔 10주년을 함께 기념해요”,https://news.google.com/rss/articles/CBMiW0FVX3lxTE1ZM29DanpIR1l5bzFWdnJkSmQzeGk0X3JwLVN3cEJwTU5NN29hMkxvMDc4MkJzRFpXcUpEVm5fSGFDcmdKSGM3UTJ2aVcxdFNKakx1U3ZkemxFN3M?oc=5,2025-05-13,2025-06-29 20:07:59
엔터_팀,NCT,Chosunbiz,"SM, 또 다시 공연 차질…NCT WISH 불참에 팬들 “신뢰 무너져” - 조선비즈 - Chosunbiz","SM, 또 다시 공연 차질…NCT WISH 불참에 팬들 “신뢰 무너져” - 조선비즈",https://news.google.com/rss/articles/CBMijgFBVV95cUxNZ2dqTVZPZGtrdEpjdjVKZzIySENxcTNRQ3h3M1NNRDg2eWJ3ejVtU243TWpnNF9IdXRrWjBhNW9QQjhPSWxqZU1jOHVhS2tyZkZqNVRYc1M0QjVKOWdyUHpFWXZNNzhGaU5EWkw2Vkxaejl2aENKOHItbEMyWTFRbWVBTkZ0UnA1TnBJc1FB0gGiAUFVX3lxTE9PX2loc2lZTFZkNERUNlJlMVpKT1Y4Yk5keUhNTjZyVk9INjV1VlFQUm1SMEdJWFJYLTg5TGgwbGZPVkZHZVRYbGN4dERrc0w0SHJYQWVMcVVHR3dOVTNpVENuNmJSckZVbmd4N2xRZXFERUY5cmFmcWljZ09KdFdKazVKZUNPcmNfRnNtMVg2TlhNeEpCeGJZQUtHQzFBWUVrdw?oc=5,2025-05-13,2025-06-29 20:07:59
엔터_팀,스트레이키즈,MBC,"스트레이 키즈 현진 ""스스로나 팬들에게 후회되지 않게 최선 다할 것"" [화보] - MBC","스트레이 키즈 현진 ""스스로나 팬들에게 후회되지 않게 최선 다할 것"" [화보]",https://news.google.com/rss/articles/CBMiY0FVX3lxTE1TSEI2MEliSjFSNk5CVWViMTh5Q0lsd0RMTTI1cXowTjhGd1lKWTRFeUczbUVSdlJiY2ZfSVlNRlNKb3IzaG9CbUVXUERNRkpWYVMtV1Vram9SaWNDVk5DekVxRQ?oc=5,2025-05-13,2025-06-29 20:08:01
엔터_팀,스트레이키즈,매일경제,스트레이 키즈 현진 “나만의 작은 행복 찾아”[화보] - 스타투데이 - 매일경제,스트레이 키즈 현진 “나만의 작은 행복 찾아”[화보] - 스타투데이,https://news.google.com/rss/articles/CBMiWEFVX3lxTE9ZeHlqWHBvak1rdkd3Y0ZWdE1ZanpNRHJNVnh6OG5tSHRSQ0laRVJRcUowWjJja0w2Mkp6MGNRZTI0UjVkQklEWU5tOXpNTFVBSWpfUU12UTA?oc=5,2025-05-13,2025-06-29 20:08:01
엔터_팀,보이넥스트도어,Weverse,보이넥스트도어의 새로운 세상 - Weverse,보이넥스트도어의 새로운 세상,https://news.google.com/rss/articles/CBMifEFVX3lxTE5DMExsRjRsaHNKaUpiX2s0X2x0NnpreUR3RkRESTBqRmRuamhnei1qZjR1UmJSZ1llZkpEYjVOdnpYeC1Ud2JwUWhhcTVtRUpkTEJwdkdaMGVRQ0cwUVlOc015eEo5ZDRtMmRvakNDYUktUVd4TWp0cFN0dFM?oc=5,2025-05-13,2025-06-29 20:08:01
엔터_팀,보이넥스트도어,경기신문,"[영상] 보이넥스트도어, ‘K-멜빵즈’ 보넥도, 출근길을 런웨이로 - 경기신문","[영상] 보이넥스트도어, ‘K-멜빵즈’ 보넥도, 출근길을 런웨이로",https://news.google.com/rss/articles/CBMiYkFVX3lxTFB5bThnSnNJazZQYXZUT05pU3oyZXVGTk5tZUs1MFZLdGU1eXFPUU11M1BDX3kzOVZrRURYNkt5X1Z3N09ZeWk3Y005d1FqZ3dOc25KajJXTnNrdTBhZTZHSDJB?oc=5,2025-05-13,2025-06-29 20:08:01
